ag;name
11;Технологические трубопроводы
10;Вертолетная площадка 256 км.
3;Принтер термотрансф. CITIZEN CLP 7201e
9;Вертолетная площадка 674
2;КОММУТАТОР (SWITCH) CISCO ИНВ.№ Ю9926
3;Газоанализато GasAlertMicroClipXT (мод.СА-GPT)
10;РУ 10кВ.Трансформаторная подстанция 2ТП подсобно-в
1;Станок верт-сверлил JET JDP-15 10000370M
5;Кран 11нж602п Ф25 Ру16 НЗ с ОФ2.3 ПМП15
4;Электропечь ЭПСП-5-50
12;Задвижки им. 300х40
7;Машина снегоуборочная Патриот Гарден PS 650 DE
4;ТРУБОПРОВОД ПАРОПРОВОДА ОТ КОЛЛЕКТОРНОЙ ДО КОЛ. 8
12;Земельный участок, кадастровый номер 59:01:47 1 60
7;Трансформаторная подстанция КТПН 585
7;Трубопроводы БОВ (боковая фильтрация)
3;Сплит-система (кондиционер) настенная General ASH
4;ИК-источник
5;Преобразователь ACS310 15KW 380B ACS310-03E-34A1-4
6;РАЗЪЕДИНИТЕЛЬ ДВУХКОЛОНКОВЫЙ ПОВОРОТ.ABB
4;Трубопровод от к.935 до ц.67
12;Насос дозировочный электромагнитный ProMinent  GAL
11;"Холодильник ""Океан"""
4;Термопреобразователь сопротивления ТС075-100П.В3.1
1;Теплообменник 426 ТКГ корп.437
6;Трубопроод подачи циркуляц.активн ила на резервуар
1;Реактор R-51
2;Устройство модульное МС 200.000-27
1;Арматура для КИП
1;Шкаф №1020231
1;Гайковерт гидравлический Plarad MSX MX-EC 45 TS
3;ДАТЧИК EJA110A-EMS5G-717DD/K21/N4/QR
4;Комплект портативного терминала МТР850Ех НИУС.4292
8;ШКАФ СИЛОВОЙ  №1 СОСТОЯЩИЙ ИЗ 8 ПАНЕЛЕЙ С
6;КОНДЕНСАТОР тех.№106/3
10;Корпус 1023 Здание с очистными сооружениями
5;ВЕРСТАК МЕТАЛЛИЧЕСКИЙ №91398
7;Клапан Masoneilan 88-21114 Ду50 Ру40 Cv46 НЗ CF8M
7;Канализационная насосная станция бытовых сточных в
9;Фильтр V=3,4 м3 №5. Блок осушки УПГ-2
5;Шкаф контроля и управления Yokogawa в сборе с обор
3;Дефлектор Д-800
9;Эстакада ТГМП к складу ЛВЖ
7;Подогреватель Е-1501, Е-1501
12;Установка для очистки трансформаторного масла
10;ЗДАНИЕ ГАРАЖА
12;Колонна К-305
1;Шкаф ШАМ-11 с полками
4;Термопреобразователь сопротивления ТС075-100П.В3.1
3;Хроматограф ЛХМ-2000-02 (два ДИП)/Кол/Доп.кол/МШ
1;Плитка эл. 1-комф. ЭПЧ 1 кВт
2;ГОЛОВКА ИЗ.POLYTRON 2 XP EX
9;корпус1220а-мастерская
11;НАСОС ЦЕНТРОБЕЖНЫЙ тех №306/II НК-65/35/70
4;Система видеонаблюдения ХКС
8;Ограждение территории
3;БЛОК ВНЕШНИЙ RK-18SDM2E
6;БЛОК АВАР. ЗАЩИТЫ И СИГНАЛИЗАЦИИ БАЗИС-2
12;Конденсатор 600КВНВ ТУ3612-007
4;ЗАДВИЖКА 30С941НЖ Ф50 РУ16 С Э/П В-А2-13
5;Клапан Masoneilan Camflex 35-35112 Ду100 Ру40 IV C
10;Бачок с внутренним подогревателем В1-471.00.000.ВО
1;компрессор С-120 к-с 1201В
9;Камеры оборотной воды с градирней (титул 07)
1;Весы ВТ-150 зд.1014 пр.12
8;Склад-гараж
7;Щит станции управления 27 ЩСУ
12;Земельный участок пл.276 238 кв.м
11;НАСОС ЦЕНТРОБЕЖНЫЙ С ЭЛ.ДВ. 11 КВ
7;Вентилятор дутьевой котла №6 поз.6К-416
10;ПЛОЩАДКА У ЦЕХА ДЛЯ МЕТТАЛ. КОНТЕЙНЕРОВ
4;Источник холодного света портативный эндоскопическ
7;Камера пожарного гидранта № 4
3;Датчик EJX530A-EBS7N-019DN/CS1/N4/QR
3;"Стенд ""Галерея почета"" 4200х2850х550 мм"
8;ПРЕОБРАЗОВАТЧАСТОТЫ DANFOSS VLT AQUA
12;Распред.шкаф ПР-11В-3072
4;Вт.прибор ПВ-4-4Э
8;КАМЕРА
2;холодильник воды поз. Е 322 к-с 1202
12;Клапан регулирующий 35-35322 DN200 PN40 поз.XV7614
11;ОТСТОЙНИК
3;Комп. HP dx2200MT с мон. HP L1706
12;Распред.шкаф 2КТП 1000 КН-4
2;настольно-сверлильный станок 2М-1123 к-с 1200 (КИП
11;Установка для повышения давления воды Ги
10;"Корпус 1013;1013/1 Администартивно-бытовой корпуc"
3;Источник питания (для рентгенаппарата)
11;ЕМКОСТЬ 25 КУБ.М Р=-25 КГ \ КВ.М №33679
3;Принтер HP LaserJet 1320 (A4)
8;Панель
8;Фильтр осушенного газа Ф-402/2
1;Контейнер с комплектом заглушек и кожухов
8;Операторная взрывозащищенного исполнения для произ
6;Станция катодной защиты 317
11;КОМПРЕССОР
5;ТЕЧКА ПОЗ.11 КМЕВ 30412431900.000ВО
9;ПЫЛЕСОС KARCHER NT 65/2 AP EU (1.667-291.0)
8;"Магистральный газопровод ""Тюменская КС - Белозерны"
9;Титул 1390 Ливненакопитель
6;аквариум Биодизайн Crystal 147073
2;Компьютер HP DC7600 2М Р4 3,0 с монитором
3;Весы SW 5
9;Модуль МПТХ 65-100-50 ЭМ
5;Щит 422Щ4
4;422 МА 22 Кубовый продукт Т307
1;Кресло мягк
10;Корпус 1391 Насосная перекачки ливн. и талых вод
2;АРМ Блок Lenovo ThinkCentre M710q (514615)
6;Станция катодной защиты 217
6;Электроосвещение корпуса 1202
11;НАСОС НК 210/120 техн.№171/4
4;РАДИОСТАНЦИЯ ТАКТ 302 ИНВ.№ Ю10254
3;Комплект портативного терминала TETRA с номеронаби
6;ТЕПЛООБМЕННИК ТСЭ - 0,4
4;Манометр б/разд, PG-4671
6;ПАНЕЛЬ РАСПРЕДЕЛИТЕЛЬНАЯ ПРС- II- 2
5;Аппарат возд. охлаждения 1 АВЗ-9-Ж-1,6-Б1-Г1инв. №
2;"Дыхательный аппарат ПТФ+90Д-168Л ""Базис"""
10;4-комнатная квартира для проживания граждан общей
3;Мельница шаровая вибрационная МЛ-1
5;Расходомер ЭМИС-МАСС 260-Ex-050 228309 поз.FT40333
5;Регулятор давления UBAN-V1/IF3 Ду40 Ру40 поз.PCV 1
10;Вертолетная площадка 256 км.
7;Кран мостовой электрический г/п 10 тн (маш.зал)
3;МФУ WorkCentre 4118x (принтер/копир/сканер/факс)
5;Резервуар технологической воды V-600, V-600
5;Датчик давления EJA118W-DMSD2DА-EA1097DA/KS2
1;Резервуар вертикальный Д-1066
6;ТЕПЛООБМЕННИК ТСЭ-04-12
4;Маном. МПЧУ 10кг/см.кв. (250465)
6;ВОЗДУХОПОДОГРЕВАТЕЛЬ СЕКЦИОННЫЙ
1;Шкаф пожарный ШПК-310 НЗК
11;СТАНОК ИНСТРУМЕНТАЛЬНЫЙ УНИВЕРСАЛЬНО-ФРЕЗЕРНЫЙ
4;Стол рабочий
10;Корпус 1864 Ремонтно-экспл.пункт ж/д ст.Кудрово
2;Регистратор многоканальный РМТ 39Dex
11;ОСЦИЛОГРАФ С-1-99
5;Полимеризатор техн. №32/1-5бат.
5;Клапан Masoneilan 88-21115 Ду25 Ру40 IV Cv3,8 НЗ C
6;Газопровод от ДКС до ГПЗ(узел замера)
8;"АТС ""Меридиан"""
8;ТРАНСФОРМАТОР ТМ-630 6/04
2;ГОЛОВКА ГАЗОИЗМ. RIKEN KEIKIE SD-1
5;Резервуар V-107А, V-107 A
2;ИБП APC SMART-UPS 750VA USB RM 2U 230V
12;Насос Центробежный ЦГ-6.3-2.2-2   Н-47/1
6;ВОЗ 23510100080
9;ТРУБОПРОВОД ХИМИЧЕСКИЙ ЗАГРЯЗНЕННОЙ
9;к-с 1219-факельная установка
9;Шкаф пожарный с пожарными кранами к.1017
5;ПНЕВМОТРАНСПОРТЕР ТЕХН.№24-3
3;Весы дозировочные
11;НАСОС 3К6, тех. №38-1
5;Кондиционер Mitsubishi Electric вн/блок
9;Фильтр V=3,4 м3 №6. Блок осушки УПГ-2
4;Установка автоматического пожаротушения Корпуса 10
4;Стул офисный
4;Шкаф-гардероб S82 (вишня)
6;ФИЛЬТР Н/ Ж
4;Стол-мойка
7;Станок плоскошлифовальный мод.3Л722В зав.№ 58149
7;ТЕПЛОВОЗ ТЭМ2 УМ 409
5;Гидрозатвор №51/4
9;КАНАЛИЗАЦИЯ ТЕЛЕФОННАЯ К ЦЕХУ ДК-10 15П/М
1;Баллон Д1
6;ДАТЧИК ТОКА НУЛЕВОЙ ПОСЛЕДОВАТЕЛЬНОСТИ
2;Узел коммерческого учета расхода стоков ХЗК (поз.7
5;Датчик Метран-100-ЕХ-ДИВ-1311-02-МП1
12;Сигнализатор Щит 2-13
10;Корпус 428 Корпус конфикционирования
11;Ячейка КРУ КВЭ
6;Измеритель параметров заземления MRU-101
4;Осциллограф TDS 2012 ЭП-300 служба ГЭ т.411
5;Завеса AeroBlast ВК3-300/300-Л9Т
7;Клапан Masoneilan Camflex 35-35222 Ду150 Ру40 VI C
1;Теплообменник 426 ТКГ-Т6-М1-0/25-3-1 к.1133
12;Пневмопривод ПЗ-100-40
11;НАСОС ХЕ 80 /50 -200 АК5
2;Система распр.упр.CENTUM CS3000R3
12;Шкаф сушильный для спецодежды и обуви DION PRO
3;ТРАНСФОРМАТОР НАПРЯЖЕНИЯ
4;НАСОСЫ
11;НАСОС ТЕХН.№165/2
8;КАМЕРА КСО -2У М
5;Клапан Masoneilan Camflex 35-35122 VI Ду150 Ру40 C
11;КОМПРЕССОР
2;Насос SAER NR-151A/10 эл/дв 3 кВт 2900 об/мин. скв
2;Система автоматического антипомпажного регулирован
10;АВТОДОРОГА у цеха 22б
4;ТРУБОПРОВОД
2;установка заполнения цистерн к-с 1204 А
8;Камера КСО №7
12;Блок высоковольт. ВВ-4-63/6 №1082
10;Корпус 411 Административно-бытовой корпус с лаб.
11;НАСОС АХ 200 / 150 С ЭЛ. ДВИГАТЕЛЕМ
2;емкость поз. F- 730 к-с 1202
7;Трубопровод к котельной (вид сетей В-9)
7;Клапан Masoneilan Camflex 35-35222 Ду50 Ру40 VI Cv
3;"Компьютер Cel.900/SL30T/256MB/20Gb/17""HS"
12;Емкость Е-100, 025/0-2/2
10;Здание операторной установки СТП к.335
9;КАНАЛИЗАЦИЯ ТЕЛЕФОННАЯ К ЦЕХУ 20а -350П/М
4;Путь железнодорожный №22 (маневровый)со стрелочным
8;Кофемашина JURA ENA Micro 1
6;КАМЕРА № 3.4.9
7;ТУРБОСУШКА ОСАДКА 900 VOMM IMPLANTE
6;СТАНОК СУ-40
5;Приточная система П-1,1А
7;Внутриплощадочные автопроезды. Очистные сооружения
8;ТРАНСФОРМАТОР ТМ 1000 / 6
7;Трансформаторная подстанция КТПН-10/0,4 кВ
1;Баня ПЭ-4310 зав.№ 0397
11;АППАРАТ
11;ЕМКОСТЬ МАТЕРИАЛ СТ.3
2;Коммутатор Cisco Catalyst 2960-X (WS-C2960RX-24TS-
11;TPAHCФОРМАТОР ТП-2
9;Комплекс водоочистки КВО.025-128 ТУ 3697-007-04892
11;Ионометр ЭВ-71
1;Насос дозировочный с моном. Р 5600 I G-804
4;Насос дозировочный НДГ 2,5 ЭМ 1000/25 кв
7;Трансформатор трехфазный силовой сухой Schneider E
3;Весы Acculab ALC-810 d2
1;Нейтрализатор
1;Отопительный агрегат АПВ 200-140 корпус 1019
8;КАМЕРА КСО -2
12;Автодороги производства ПСВ
7;Вентилятор дутьевой котла № 4 поз.4К-416
6;"Станок настольный ""Универсал-В"" мод. ТШЗ-01 в комп"
10;Корпус 1159/1-9 Градирни трехсекционные пленочные
10;Резервуар Р-7 V-1000м3 к.701
3;Насос Х 80-50-200-К-55 У2
9;Фильтр Ф-204/2 черт. А.101.00.000B0
12;Хроматограф Кристалл-2000М(с компьютером
1;Смеситель пара Д-55
12;Стол 4807 200*89*73/010501025/каб.ген.ди
9;Корпус 1242-б
4;424 80 Сточные воды (WW)
3;Калибратор петли тока Fluke 707Ех
11;НАСОС  ТЕХН.№7/2
5;АВО газа Т-103/2
2;Терминал Xerox YSoft SafeQ ASK 725154
12;Конд. установка Varset Classic 400квар. 50Гц
8;Путь железнодорожный №48 из рельсов Р-65 276.6п/м.
1;Насос 1 Д 200-90 инв. № 6244
3;Аппарат для определения тем-ры вспышки АТВО-20
11;НАСОС НК-200/120 тех №2/3 №40422
12;Ограждение территории завода
4;"Комплекс программно-технический измерительный ""Рет"
4;Материалопровод-трубопровод от эст.п2 до ст.44 и э
8;Склад металлический для хранения баллнов
2;Электронасосный агрегат НД2,5Р800/63ПГ
9;Корпус 1160,1161 Приемные камеры
7;Автопроезды и пешеходные дорожки
12;"Книжный шкаф pal T08708 ""Padova"""
8;Обгонныйж/д путь № 7
10;Сооружение - бункерная (титул 1554)
7;Узел разогрева ЮФКЛ-0500000
11;"ХОЛОДИЛЬНИК БЫТОВОЙ""ПОЛЮС"""
1;"Электроплитка ""Ока-4"""
3;Датчик EJX530A-EBS8N-019DL/CS1/N4/QR
2;Структурированная кабельная система к.716
8;Перевод стрелочный №18 к пути №19 п/м 56
9;Эстакада 2
3;Датчик EEJX530A-EBS8N-019DD/CS1/N4/QR
8;Железнодорожные пути №28
7;Преобразователь Endress+Hauser поз. PITX22017
7;Сети связи лс
6;Ресивер азота B-911/1
5;Распред.пункт ПР -2 к-с 1203
10;Эстакада от опоры №1506 до опоры №1510
1;Насос ц/б с моном. Р 5709 I G-808
3;Генератор ВЕПРЬ АДП 3-230
4;ТРУБОПРОВОД ХОЗ-ФЕКАЛЬНОЙ КАНАЛИЗАЦИИ ОТ КОЛ.
10;Сосуд-Емкость Е-26 V-200м3
1;Cмеситель для гранул Р-1020
7;Литьевая машина Р3021/А
11;Сверлильный станок 2Б-118
3;ДАТЧИК EJX530A-EBS8N-019DL/KS21/N4/D4
4;Сапфир 22-ДУ-2620-02-У2-0,5-3-1000-42, LIA-169.1.2
10;№ 106 ЗДАНИЕ ОКОЛО ЦЕХА 89
2;Мотопомпа Robin-Subaru PTG 307 ST
1;Насос ЦГ 25/80-15-5 Н-323А
6;Сигнализация неиспр. работы вент.систем к.413,415
4;Прибор ПАС-01/604ДМ
7;Станок токарно-винторезный 16В16КА 1753
8;ШКАФ СИЛОВОЙ ОСТОЯЩИЙ ИЗ 8 ПАНЕЛЕЙ
3;Весы OHAUS Pioneer PA214C
10;Эстакада кранового узла . КУ 29 км.
7;Печь П-302 ГБ2 280/14,L=19,95м,S=6,1м,Н=12,95м
7;Стойка оптики К386 кор.350
7;Сейф металлический
1;Радиостанция MOTOROLA Р 040(is) зав.№ 422HEG911
8;Шкаф (хранилище) для газовых баллонов ХГБ-05
10;"Строение ""ЗРУ 10кВ II очереди"" в составе объекта Р"
10;Аппарат ВЭЭ 2-1-0,63-0,6 УХЛ4 383562
1;Усилитель двухкон.162613 R2
9;Холодильник Х-503
5;Ювиль отделитель №42/2 Германия S-3101a-1
