ag;name
5;ШКАФ УПРАВЛЕНИЯ
11;Емкость из нерж стали V-10М3/010402032/
9;Сливная автоэстакада
1;Кран Flowserve Argus FK79 DN25 ANSI150 1.4408 флан
3;Стол рабочий Р6012, бук
7;Подъездные железнодорожные пути 316 м
7;ТРАНСФОРМАТОР СИЛОВОЙ
9;АВТОДОРОГА К ЦЕХУ Д-2 у перекрестка 27в
5;Пресс гидравлический с усилителем 35 т. JET HP-35А
6;Клапан Masoneilan 88-21115 Ду50 Ру40 IV Cv3,8 Р H3
2;ГОЛОВКА ИЗМЕР.POLYTRON IRCEN334
9;Эстакада ТГМП, участок 1
4;Установка дозирования флоккулятора (Р 1901)
5;СИРЕНА СС-1
1;Аппарат 1-8-1600-2.5 Е-8 к-с 1239
5;Теплообменник в сборе ТТ-312 1А
3;КАБЕЛЬНАЯ ТРАССА ОТ Г П П -1 ЯЧ.23
11;Источник бесперебойного питания Liebert
2;Теплообменник Т-127
11;Шкаф ПР 8503-2024-1 УХЛЗ
10;КОРПУС 91
3;ТРУБОПРОВОД ЛИВНЕВОЙ КАНАЛИЗАЦИЯ ОТ ЦЕХА 55-А
0;Тумба Р 6520, бук
11;Укрытие для скважин артезианской воды (4,4х3,6)
6;Клапан Masoneilan Camflex 35-35212 Ду50 Ру40 IV Cv
4;Электродвигатель АВ 280 М4 132 кВт.
10;Здание ГПП-2 корпус 64
2;Прибор РУ-305 В-4 к.656
7;ТРАНСФОРМАТОР ТДНГ 31500 / 110
6;Здание блока ТДА
9;KOPПУC-1250
8;Вертолетная площадка 754
6;Клапан Masoneilan Camflex 88-21115 Ду25 Ру40  I VI
1;Газоанализатор Drager X-am 2500 Ex O2 в к-те с вн.
5;эл. двигатель ВГ-70
3;"Прибор ""Сапфир"" 22 МДД"
5;ЭЛ/ДВИГАТЕЛЬ ВАО-2-450 ЛА6
9;ЗДАНИЕ ЦЕХА ВЫДЕЛЕНИЯ И СУШКИ ДИВИНИЛ-
8;Шкаф пожарный с пожарными кранами к.1017
0;Щит ЩСУ 71648003
3;Разделительная емкость Е-202/1. Наружный двор комп
8;к-с 1231 (насосная)
8;Блок аппаратов воздушного охлаждения АВМ-Г-20-ЖЭ-1
2;Комплект портативного терминала МТР850Ех НИУС.4292
6;Канализация хим. загрязненных стоков К-7
9;Кабельная эстакада 865
2;Копир Xerox CopyCentre C118DVP
5;Светильник РСП-38-250
11;Датчик давл.  EJA530A-DDS4N-07DE/KF2
8;Блок аппаратов воздушного охлаждения АВГ-КБ-С-20-Ж
10;КОНТЕЙНЕР ДЛЯ ТИБА ТЕХН.№ 512
9;Корпус 1252 Фильтровальный зал станция осветления
11;Преобразователь МТ100Р 11033-11-У2
1;Системный блок HP dх2300MT Е2160 GW176UPG
0;Железный шкаф №2156008
8;Сепаратор С-103/2 /НОиО/ 25м3
8;Вертолетная площадка 732
5;СТАБИЛИЗАТОР ССП-1 2,5 КВТ
5;202/3 29 Система распределения воздуха КИП
